en	kr
We ﬁnd bank mortgage loans are largely predicted by the loan rates, the volume of apartments to be moved in, and the number of apartment units to be sold.	은행권 주택담보대출은 주로 대출금리, 아파트 입주물량, 분양물량 등에 의해 예측가능하다는 것을 발견했다. 
Industrialization of Augmented Reality Contents : Focusing on the 21st Century`s Films and Augmented Reality Arts	증강현실 콘텐츠의 산업화
Application of Neural Network for Calculating Runoff in Small-Medium Watershed	중소하천유역에서 유출량 산정을 위한 NEURAL NETWORK의 적용
We also show that the word based model generated better sentences compared to the other settings.	또한 문장 최소 단위를 어절로 설정한 모델이 다른 모델보다 문장 생성에서 더 우수한 결과를 보임을 밝혔다.
worker-centered safety management for hazardous areas in the plant is required.	공장 내 위험 지역에 대한 작업자 중심의 안전 관리가 필요하다.
In this paper, we propose a method to recognize the modulation of radio signals in wireless communication based on the deep neural network.	본 논문에서는 딥 뉴럴 네트워크 모델을 기반한 무선통신에서 전파신호의 변조 방식을 식별하는 방법을 제안한다.
Selection of Optimal Face Detection Algorithms by Fuzzy Inference	퍼지추론을 이용한 최적의 얼굴검출 알고리즘 선택기법
We propose methods for estimating the trajectory of drifter using support vector regression, radial basis function network, Gaussian process, multilayer perceptron, and recurrent neural network.	서포트벡터 회귀, 방사기저함수 네트워크, 가우시안 프로세스, 다층 퍼셉트론, 순환 신경망을 이용하여 뜰개의 이동경로 예측 방법을 제시한다.
Estimating of Abnormality in Cardiac Rhythms by Machine Learning	머신러닝 학습을 통한 심장 리듬의 이상 여부 평가
And Is artificial intelligence designed to serve a particular purpose, such as self-driving cars, an autonomous moral agent as moral machine? 	그리고 자율주행 자동차처럼 특정한 목적을 수행하도록 설계된 인공지능도 자율적인 도덕적 행위자라 할 수 있는가? 
Development of Abnormal ECG Learning Model after Stroke onset	뇌졸중 발생 후 심전도 이상 판단 모델 개발
Human Activity Recognition Using RNN LSTM	RNN LSTM을 이용한 사람 행동 인식
The primary components of a CNN accelerator include the Multiplier-Accumulator(MAC unit) for calculation, SRAM for data storage, memory interface for data movement, and control logic.	CNN 가속기의 내부 구성을 몇 가지로 나눈다면 연산을 위한 Multiplier-Accumulator(MAC unit), 데이터 저장을 위한 SRAM, 데이터 이동을 위한 메모리 인터페이스 그리고 제어 로직으로 구분할 수 있다.
Image Clustering with CNN and AAE	컨볼루션 신경망과 AAE를 이용한 이미지 클러스터링
Whereas physical sensors including accelerometer, magnetic field and gyroscope sensors are less vulnerable to privacy issues and can collect a large amount of data within a short time.	반면 가속도, 자기장, 자이로스코프 등의 물리 센서의 경우 사생활 침해 가능성이 낮으며 단시간 내에 충분한 양의 데이터를 수집할 수 있다.
Learning Multiple Instance Support Vector Machine through Positive Data Distribution	긍정 데이터 분포를 반영한 다중 인스턴스 지지 벡터 기계 학습
Scale-adaptive tracking with structured output	크기 변화에 적응적인 비정형 객체 추적을 위한 연구
Hand Motion Classification Using Machine Learning Algorithm	기계 학습을 이용한 손동작 분류
An experiment showed that the accuracy obtained from Text-CNN’s learning of kitchen intents was about 94%.	한 실험에 따르면 Text-CNN의 취사안내 의도 학습에서 얻은 정확도는 약 94%였다.
Character recognition of material image in continuous casting processor of steel plant by use K-L transform	K-L 변환을 이용한 철강 주편소재 영상의 문자인식
Design and Implementation of Machine Learning-based Blockchain DApp System	머신러닝 기반 블록체인 DApp 시스템 설계 및 구현
Improving Learning Performance of Support Vector Machine using the Kernel Relaxation and the Dynamic Momentum	Kernel Relaxation과 동적 모멘트를 조합한 Support Vector Machine의 학습 성능 향상
A Study on the Exploration-Exploitation Dilemma using an uncertaintydriven state space learning algorithm	불확실성 기반 상태 공간 학습 알고리즘을 이용한 Exploration-Exploitation 딜레마에 관한 연구
It was shown that they can contribute to the improvement of the performance of the classification of an imbalanced data set using deep learning model.	딥 러닝 모델을 사용하여 불균형 데이터 세트의 분류 성능을 향상시키는 데 기여할 수 있는 것으로 나타났다.
The achieved scores indicate arrhythmia classification rate of over 97%.	성능 평가 결과 PVC는 약 97% 이상의 평균 분류율을 나타내었다.
An Estimation Model of Fine Dust Concentration Using Meteorological Environment Data and Machine Learning	기상환경데이터와 머신러닝을 활용한 미세먼지농도 예측 모델
Prediction of infectious diseases using multiple web data and LSTM	다중 웹 데이터와 LSTM을 사용한 전염병 예측
on UU Triaxial Test and Piezocone Test Results	신경회로망을 이용한 용접잔류응력 예측 및 최적의 용접조건 선정에 관한 연구
Probability Normalization and Comparison of Belief Network Learning Algorithms in Noisy Environment	확률정규화와 노이즈가 들어간 환경에서의 신뢰네트웍 학습알고리즘 성능 비교 분석
The convolution operation of binary image and binary kernel is performed by addition and subtraction.	이진 영상과 이진 커널의 컨볼루션 연산은 가산과 감산으로 수행한다.
The chatbot program refers to a specific type of artificial intelligence algorithm that uses interactive technology, and is fundamentally different from the current annoying machine learning.	챗봇 프로그램은 인공지능 알고리즘 중에서 대화형 기술을 이용하는 특정한 유형의 프로그램을 지칭하며, 현재 성가를 올리고 있는 머신러닝과는 근본적 차이가 있다.
A Study on Big-5 based Personality Analysis through Analysis and Comparison of Machine Learning Algorithm	머신러닝 알고리즘 분석 및 비교를 통한 Big-5 기반 성격 분석 연구
Network Intrusion Detection System Using Feature Extraction Based on AutoEncoder in IOT environment	IOT 환경에서의 오토인코더 기반 특징 추출을 이용한 네트워크 침입탐지 시스템
In this paper, we study a method for using a long short-term memory (LSTM) network in predicting F10.7 data.	본 논문에서는 F10.7을 예측하는 방법으로 LSTM(long short-term memory) 네트워크를 적용하였다.
Automated TAB - IC Inspection System using Computer Vision	컴퓨터 시각장치를 이용한 반도체 IC의 자동검사 시스템
Detecting Jellyfish from images of the Remote Marine Surveillance System	원격해양감시영상에서 해파리 검출
Daily Life Human Activity Recognition Using Smart Watch	스마트 워치를 사용한 일상생활 인간 행동 인지
Image and Voice Processing : A Geometric Active Contour Model Using Multi Resolution Level Set Methods	화상 및 음성처리 : 다중 해상도 레벨 세트 방식을 이용한 기하 활성 모델
The second, the model extracts CNN features of image using AlexNet.	두 번째는 AlexNet을 사용하여 이미지의 CNN 특징을 추출한다.
Stock Prediction Model based on Bidirectional LSTM Recurrent Neural Network	양방향 LSTM 순환신경망 기반 주가예측모델
Trends in Temporal Action Detection in Untrimmed Videos	시간적 행동 탐지 기술 동향
Learning data preprocessing technique for improving indoor positioning performance based on machine learning	기계학습 기반의 실내 측위 성능 향상을 위한 학습 데이터 전처리 기법
Third, based on an observation that audio signals are often very effective for specific emotions, we propose an audio deep learning mechanism robust to the specific emotions.	셋째, 특정 감정에 오디오 신호가 매우 효과적이라는 관측을 기반으로 특정 감정에 robust한 오디오 심층 학습 메커니즘을 제안한다.
In addition, it took an average of 9 minutes and 26 seconds to provide temperature information using this approach.	또한, 해당 방법을 이용한 기온예측에는 평균 9분 26초의 시간이 소요되었다.
An improved GAN for generating high-fidelity synthesized cough sounds	충실도 높은 기침 소리 생성을 위한 개선된 GAN
Design and Implementation of Agent-Recruitment Service System based on Collaborative Deep Learning for the Intelligent Head Hunting Service	지능형 헤드헌팅 서비스를 위한 협업 딥 러닝 기반의 중개 채용 서비스 시스템 설계 및 구현
Reliable State Estimation Method using Stereo Vision-Based Virtual Model Extended Kalman Filter	스테레오 비전 기반 가상 모델 확장형 칼만 필터를 이용한 안정된 상태 추정 방법
Deconvolution Pixel Layer Based Semantic Segmentation for Street View Images	디컨볼루션 픽셀층 기반의 도로 이미지의 의미론적 분할
We examined a machine learning method to extract the atom-pair interaction potential energy in materials. 	지도형 기계학습법을 사용하여, 인경신경망에 원자간 상호작용 포텐셜을 계산하는 방법을 연구하였다.
Semi-supervised learning for sentiment analysis in mass social media	대용량 소셜 미디어 감성분석을 위한 반감독 학습 기법
Malware Classification Using Machine Learning and Binary Visualization	바이너리 시각화와 기계학습을 이용한 악성코드 분류
Implementation of Active Humanoid Robot Soccer System Using Global Vision	글로벌 비젼을 이용한 자동제어 휴머노이드 축구시스템 설계
A Study on the Prediction Model for Self-employed Business Closure Using Machine Learning Techniques: Focusing on 25 Autonomous Districts in Seoul	머신러닝 기법을 활용한 자영업자 폐업 예측 모형 연구: 서울시 25개 자치구를 중심으로
Machine Learning-Based Authorship Attribution for Historical Texts – a case study of GaeByeok magazine in the 1920s	기계학습을 이용한 역사 텍스트의 저자판별: 1920년대 개벽 잡지의 논설 텍스트
Study on Vehicle Recognition System	차량인식시스템에 관한 연구
In order to effectively train long input patterns, the LSTM network, an improved RNN model, is adopted.	비교적 긴 입력 패턴의 순차성을 효과적으로 학습시키기 위해, 개선된 RNN 모델인 LSTM 네트워크를 사용하였다.
Development of Integrated Security Control Service Model based on Artificial Intelligence Technology	인공지능 기술기반의 통합보안관제 서비스모델 개발방안
Load Fidelity Improvement of Piecewise Integrated Composite Beam by Irregular Arrangement of Reference Points	참조점의 불규칙적 배치를 통한 PIC보의 하중 충실도 향상에 관한 연구
Adaptive PI Controller Design Based on CTRNN for Permanent Magnet Synchronous Motors	영구자석 동기모터를 위한 CTRNN모델 기반 적응형 PI 제어기 설계
Suggestion of Urban Regeneration Type Recommendation System Based on Local Characteristics Using Text Mining	텍스트 마이닝을 활용한 지역 특성 기반 도시재생 유형 추천 시스템 제안
In order to achieve better performance, the authors changed the domain of image to be closer to due diligence and diversified.	더 좋은 성능을 위해 적대적 생성 모델을 활용하여 이미지의 도메인을 보다 실사에 가깝게 바꾸고 다양화 하였다.
Object-Human Interaction Pattern Generating System using Deep Learning	딥러닝 모델을 사용한 물체-사람 상호작용 패턴 출력 시스템
Online Monitoring System based notifications on Mobile devices with Kinect V2	키넥트와 모바일 장치 알림 기반 온라인 모니터링 시스템
When the relative speed of the vehicle is high, the channel tends to change its characteristics rapidly so that reliable communication in time varying frequency selective fading environments should be performed.	차량 간 상대 속도가 높은 경우 채널은 특성이 빠르게 변하기 때문에 시변(time varying) 주파수 선택적 페이딩 환경에서의 신뢰성이 있는 통신이 이루어지도록 해야 한다.
Utilizing Experiences of Supervisor in Sequential Learning for Multilayer Perceptron	지도 경험을 활용한 다계층 퍼셉트론의 순차적 학습 방법
A Study of Techniques and Accuracy of Machine Translation based on Deep Neural Network	심층학습을 이용한 기계번역 기술과 정확도 연구
Introduce the results of predicting the path of movement by learning the LSTM model using the path of the person concerned.	해당 사람의 경로를 활용하여 LSTM 모델을 학습시켜 이동 경로를 예측한 결과를 소개한다.
In this paper, a fault diagnosis of the radiator was performed using the LSTM autoencoder.	본 논문에서는 LSTM 오토인코더를 이용하여 라디에이터의 고장진단을 수행하였다.
Chatter diagnosis by using DCT signal processing and deep learning	DCT 신호처리 및 딥러닝 알고리즘 적용을 통한 채터 진단
The Korean Speech-Act Analysis System Based on RNN-CNN for Speech-Act Analysis of Dialogue Level	대화 단위의 화행 분석을 위한 RNN-CNN 기반 한국어 화행 분석 시스템
According to numerous machine translation experts, humantranslation will continue to exist in a narrow scope and in specialized domains, while a majorityof general information will be translated through machine translation systems.	현재의 전망으로는, 일반적인 정보 전달은 기계번역기 사용이 보편화될 것이고,인간번역은 범위가 아주 축소되고, 매우 전문적인 영역에서 지속될 것으로 보인다.
On the other hand, the coverage of the U.S and Italy tends to use the narrative of ‘our disease’ using the visual frames of the ‘scientific control’ and ‘visualization of virus’.	반면 미국과 이탈리아의 보도는 '과학적인 통제'와 '바이러스의 시각화'라는 시각 프레임을 이용해 '우리 병'이라는 서사를 사용하는 경향이 있다.
A Consistency Study of CNN’s Learning to Recognize Korean Finger Number using sEMG Signals	표면근전도 신호를 활용한 한국 숫자지화 인식에서 CNN 학습의 일관성에 관한 연구
In this paper, we propose a relation extraction model using multi-sense word embedding.	본 연구에서는 다중-어의 단어 임베딩을 적용한 관계 추출 모델을 제안한다.
Deep Learning Models Conformity Assessment for Particulate Matter Prediction in Smart Cities	지능형 도시에서 미세먼지 예측을 위한 심층 학습 기법 적합성 평가
System Identification Using Hybrid Recurrent Neural Networks	Hybrid 리커런트 신경망을 이용한 시스템 식별
The learning structure of multiple stacking ensemble technique is similar to the structure of deep learning, in which each layer is composed of a combination of stacking models, and the number of layers get increased so as to minimize the misclassification rate of each layer.	다중 스태킹 앙상블 기법의 학습 구조는 딥러닝 구조와 유사하고 각 레이어가 스태킹 모델의 조합으로 구성되며 계층의 수를 증가시켜 각 계층의 오분류율을 최소화하여 성능을 개선한다.
We made the prediction models using long short-term memory(LSTM) which has shown high performance in the field of the series prediction recently.	예측모델은 최근 시계열 예측 분야에서 높은 성능을 보이고 있는 long short-term memory (LSTM)을 활용하여 생성하였다.
Three knowledge distillation methods were used to apply it to the DA-FSL model, and through experiments, the curve converging to the initial target learning accuracy was evaluated.	세 가지의 지식 증류 방법을 사용해서 DA-FSL 모델에 적용하고 실험을 통해 초기 목표 학습 정확도에 수렴하는 곡선을 평가하였다.
Study on Streamflow Prediction Using Artificial Intelligent Technique	인공지능기법을 이용한 하천유출량 예측에 관한 연구
During the learning process, four types of street images are collected and augmented, and then CNN learning is performed.	학습 과정에서 네 가지 유형의 거리 사진을 수집하고 증강시킨 후 CNN 학습을 수행한다.
of Undrained Shear Strength of Korean Soft Soil Based 	신경회로망을 이용한 평판 맞대기용접의 잔류응력 예측시스템 개발
Generating A Synthetic Multimodal Dataset for Vision Tasks Involving Hands	손을 다루는 컴퓨터 비전 작업들을 위한 멀티 모달 합성 데이터 생성 방법
The syntactic analysis for the practical machine translation should be able to analyze a long sentence, but the long sentence analysis is a critical problem because of its high analysis complexity.	실용적인 기계번역 시스템을 위한 구문 분석은 긴 문장의 분석을 허용하여야 하는데 긴 문장의 분석은 높은 분석의 복잡도 때문에 매우 어려운 문제이다.
Second, among the deep learning models, the predictability of the DNN model is slightly superior to that of the LSTM model.	둘째, 딥러닝 방법 중에서는 DNN모형의 예측력이 LSTM모형의 예측력보다 우수하나 그 정도는 미미한 수준인 것으로 나타났다.
In this paper, we studied how to ensure a stable response rate through comparing the response speed of the existing single hardware server with the proposed system.	본 논문에서는 기존 단일 하드웨어 서버와 제안된 시스템의 응답 속도 비교를 통해 안정적인 응답 속도 보장 방안에 대해 연구하였다.
In this study, the Faster R-CNN algorithm is used as a vehicle detection network and an additional network is constructed to classify the detected areas.	본 연구에서는 Faster R-CNN 알고리즘을 차량 검출 네트워크로 사용하고 추가 네트워크를 구성하여 검출된 영역에 대해 분류를 수행한다.
Daily forecasting of energy demand using SARIMA and LSTM method to support decision making on V2G	V2G 환경의 전력 수급 의사결정 지원을 위한 SARIMA기법과 LSTM기법의 전력사용량 1일 예측 연구
A CNN-based Column Prediction Model for Generating SQL Queries using Natural Language	자연어를 활용한 SQL문 생성을 위한 합성곱 신경망 기반 칼럼 예측 모델
Machine Learning Based Machining Process Monitoring for Intelligent Cutting Fluid Supplier	절삭유 공급 최적화를 위한 머신러닝 기반 가공상황 판단 알고리즘
An Implementation of Mobile Art for Projecting Immanent Relationship between People and the Analysis of Its Imagetelling	인간의 내재적 관계 형상화를 위한 모바일 아트 구현 및 이미지텔링 분석
Android Malware Detection Method Using Machine Learning	머신러닝 기법을 이용한 안드로이드 악성코드 탐지 기법
Especially, sensor data stored by the IoT device need not be identified to an individual, and can be effectively utilized for constructing intelligent public services for many and unspecified people as data free form private issue.	특히 IoT 기기가 저장한 센서 데이터는 개인이 식별할 필요가 없으며, 비공개 이슈에서 데이터가 없는 많은 불특정 다수를 위한 지능형 공공서비스 구축에 효과적으로 활용할 수 있다.
How Machine Design Technicians Learn in their Workplace	기계설계 기술자의 기업내 학습의 행태
A Study on the Introduction and Application of Groupware	Groupware의 도입과 활용방안에 관한 연구
CRNN-Based Korean Phoneme Recognition Model with CTC Algorithm	CTC를 적용한 CRNN 기반 한국어 음소인식 모델 연구
Also it showed more than 5~12% higher performance than traditional methods such as Naive Bayes, Logistic and Support Vector Machine classification.	또한 전통적인 방법인 나이브 베이시안, 로지스틱 분류 및 서포트 벡터 머신보다는 5~12% 이상 우수한 성능을 나타내었다.
A Virtual Reality System for Molecular Modeling	분자 모델링을 위한 가상현실 시스템
The effects on the personalized learning platform with machine learning recommendation modules: Focused on learning time, self-directed learning ability, attitudes toward mathematics, and mathematics achievement	머신러닝 추천모듈이 적용된 맞춤형 학습 플랫폼 효과성 탐색: 학습시간, 자기주도적 학습능력, 수학에 대한 태도, 수학학업성취도를 중심으로
Smart Home Service System Considering Indoor and Outdoor Environment and User Behavior	실내외 환경과 사용자의 행동을 고려한 스마트 홈 서비스 시스템
In this paper, the FCS modifies input message to fuzzified message and stores those in the message list.	FCS는 입력 값을 퍼지화된 메시지로 변환하고 메시지 리스트에 저장한다.
A Study on the Determination of 3-D Object's Position Based on Computer Vision Method	컴퓨터 비젼 방법을 이용한 3차원 물체 위치 결정에 관한 연구
In this paper, we propose a deep learning model based on Gated Recurrent Unit(GRU) as an artificialintelligence(AI) network that can effectively perform pattern recognition of time series data such as the powerconsumption, and analyze performance of the prediction based on real household power usage data.	본 연구에서는 전력량 데이터와 같은 시계열 데이터에 대해 효율적으로 패턴인식을 수행하는 인공지능 네트워크인 Gated Recurrent Unit(GRU)을 기반으로 딥러닝 모델을제안하고, 실제 가정의 전력사용량 데이터를 토대로 예측 성능을 분석한다.
A Study on Predicting Cryptocurrency Distribution Prices Using Machine Learning Techniques	머신러닝 기법을 활용한 암호화폐 유통 가격 예측 연구
Deep Multi-task Network for Simultaneous Hazy Image Semantic Segmentation and Dehazing	안개영상의 의미론적 분할 및 안개제거를 위한 심층 멀티태스크 네트워크
Control of Robot Manipulator using PID Controller & Compensator of Neural Network	PID 제어기와 신경망 보상기를 사용한 로봇매니퓰레이터 제어
Korean Machine Reading Comprehension using Reinforcement Learning and Dual Co-Attention Mechanism	강화학습과 이중 상호 집중을 이용한 한국어 기계독해
However, convolutional neural network(CNN) based methods is applied only to a short sentence composed of 16 words in average, and it has a disadvantage that it is difficult to deal with a sentence having a complicated semantic relationship with the whole sentence.	하지만 convolutional neural network(CNN)을 이용한 방법은 문장의 평균 단어 수가 16개로 이루어진 짧은 문장에 한하여 적용되었으며, 구문 전체와 의미론적 관계가 복잡한 문장을 다루기 어렵다는 단점을 가지고 있다.
Text Classification Using LSTM-CNN	LSTM-CNN을 이용한 텍스트 분류
Hangul is an important asset in Korean language education.	한국어 교육에서 한글은 중요한 자산이다.
For this reason, finding suitable models for PM prediction is crucial.	이런 이유 때문에 미세먼지 예측에 적합한 모델을 찾아야한다.
A Safety Score Prediction Model in Urban Environment Using Convolutional Neural Network	컨볼루션 신경망을 이용한 도시 환경에서의 안전도 점수 예측 모델 연구
A Sterility Diagnosis Assisting Computer Vision System	불임 진단 보조용 컴퓨터 비전 시스템
The information of calling a sequence in a malware can be defined as system call function that is called at each time.	악성코드에서 선형적 순서 정보는 각 시점에서 호출되는 함수로서 정의 가능하다.
In addition, we proposed a deep learning model like DNN, RNN, LSTM which have input-output with extracted prediction factors.	또한, 추출된 예측요소를 입출력 패턴으로 DNN, RNN, LSTM 등의 딥러닝 모델을 제안하였다.
An Automatic Head and Shoulder Object Extraction System by Automatic Detection of a Human Eye and Generation of Human Body Model	자동적인 눈 검출 및 모델 생성을 이용한 상반신 객체 추출시스템
A Study on Prediction Model of Scaffold Pore Size Using Machine Learning	머신 러닝을 이용한 인공지지체 기공 크기 예측 모델에 관한 연구
Among the various deep learning techniques available, convolutional neural networks(CNNs) are widely used due to their superior performance in the fields of computer vision and natural language processing.	CNNs(Convolutional Neural Networks)은 컴퓨터 시각 인식과 자연어 처리 분야에서 뛰어난 성능을 보여 가장 널리 사용되고 있는 딥러닝 방법이다.
Human emotion recognition is a research topic that is receiving continuous attention in computer vision and artificial intelligence domains.	인간 감정 인식은 컴퓨터 비전 및 인공 지능 영역에서 지속적인 관심을 받는 연구 주제이다.
If the power demand information is known in advance, an optimal ESS operation scheduling technique can be applied in consideration of both the power stored in the ESS and the power demand to be generated in the future.	수요 전력 정보를 미리 알고 있다면, ESS에 저장된 전력과 앞으로 발생할 수요 전력을 모두 고려하여 최적의 ESS 운영 스케줄링 기법을 적용할 수 있을 것이다.
Hangul is a character that can express all the languages ​​of the world beyond the representation of Korean.	한글은 한국어를 표기하는 것을 넘어서 전 세계 언어를 모두 표기할 수 있는 문자이다.
The Values of Digital Society and the Research Methods of Language	디지털 사회의 가치와 언어 연구 방법
CNN has shown excellent performance in computer vision problems such as image recognition, object recognition, and face recognition, but little has been discussed in light of the importance of noise reduction in images.	CNN 모형은 영상인식, 물체인식, 얼굴인식과 같은 컴퓨터 비전 문제에서 좋은 성능을 보이고 있으나 잡음제거에 대해서는 그 중요성에 비추어 아직까지 연구가 덜 이루어졌다.
Recently, energy issues such as massive blackout due to increase in power consumption have been emerged, and it is necessary to improve the accuracy of prediction of power consumption as a solution for these problems.	최근 전력 사용량의 증가로 인한 대규모 블랙아웃 등 에너지 문제가 대두되고 있으며, 이 문제들로 인해 전력 소비량 예측에 대한 정확도를 개선할 필요성이 부각되었다.
Parameter Extraction for Based on AR and Arrhythmia Classification through Deep Learning	AR 기반의 특징점 추출과 딥러닝을 통한 부정맥 분류
Sentiment Analysis of Product Reviews using LSTM	LSTM 기반의 감정분석을 통한 상품평 자동분류
Implementation and Verification of Multi-level Convolutional Neural Network Algorithm for Identifying Unauthorized Image Files in the Military	국방분야 비인가 이미지 파일 탐지를 위한 다중 레벨 컨볼루션 신경망 알고리즘의 구현 및 검증
However, computer vision-based object detection methods are significantly affected by bad weather conditions such as heavy snow, heavy rain, and fog.	하지만 컴퓨터 비전 기반의 객체 검출 기법은 폭설, 폭우, 안개와 같은 악천후에 따라 상당한 영향을 받게 된다.
Topic Analysis of the National Petition Site and Prediction of Answerable Petitions Based on Deep Learning	국민청원 주제 분석 및 딥러닝 기반 답변 가능 청원 예측
Machine learning refers to a model generation technique that can solve specific problems from the generalization process for given data.	기계학습(machine learning)이란 주어진 데이터에 대한 일반화 과정으로부터 특정 문제를 해결할 수 있는 모델 생성 기술을 의미한다.
Analytical Decision Boundary Feature Extraction for Neural Networks with Multiple Hidden Layers	다수의 은닉층을 갖는 신경망을 위한 해석적 결정경제 특징추출 알고리즘
A Hybrid Neural Network Model for Dynamic Hand Gesture Recognition	동적 수신호 인식을 위한 복합형 신경망 모델
Unlike LSTM, which considers only the forward sequential procedure, the model proposed in this paper uses the reverse order procedure.	본 논문에서 제안하는 모델은 시간의 순방향만을 고려하는 LSTM과 달리 시간의 역방향도 고려하여 학습한다.
Failure Detection  of Motors using Artifical  Neural Networks	신경회로망을 이용한 전동기의 고장  부분 탐지
In this study an educational robot for programming education was designed and implemented.	본 연구에서는 프로그래밍 학습을 위한 교육용 로봇을 설계하고 구현하였다.
Design of Fashion Coordination System using CNN	CNN을 사용한 패션 코디네이션의 설계
Recently, the development of machine learning technology has led to the application of deep learning technology to existing image based application systems.	최근 들어 머신 러닝 기술의 발달로 기존 영상 기반의 응용 시스템에 딥러닝 기술을 적용하는 사례들이 늘고 있다.
Genetic Programming based Manufacutring Big Data Analytics	유전 프로그래밍을 활용한 제조 빅데이터 분석 방법 연구
As a result of t-test the proposed method was shown better performance, compared with other pruning and construction methods through the cross-validation.	또한 다른 가지치기 및 구조 증가 알고리즘과의 교차검증에 대한 t-검정 결과 그들에 비해 우수한 성능을 보였다.
Creative endeavor in Korean language education strengthens the competitiveness of Korean language education and is a strategy of survival.	한국어 교육에서 창의적인 노력은 한국어 교육의 경쟁력을 강화하는 것이면서 생존의 전략이기도 하다.
